127.0.0.1 - - [17/Jan/2017:09:51:15 +0530] "GET / HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:51:16 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:51:16 +0530] "GET /CollaborationFrontEnd/user/UserService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:51:16 +0530] "GET /CollaborationFrontEnd/c_blog/BlogController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:51:16 +0530] "GET /CollaborationFrontEnd/c_blog/BlogService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:51:16 +0530] "GET /CollaborationFrontEnd/forum/ForumController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:51:16 +0530] "GET /CollaborationFrontEnd/forum/ForumService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:51:16 +0530] "GET /CollaborationFrontEnd/jobs/JobController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:51:16 +0530] "GET /CollaborationFrontEnd/jobs/JobService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:51:16 +0530] "GET /CollaborationFrontEnd/image/image.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:51:17 +0530] "GET /CollaborationBack/users/ HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:51:17 +0530] "GET /CollaborationFrontEnd/user/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:51:17 +0530] "GET /CollaborationBack/users/ HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:52:01 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:52:01 +0530] "GET /CollaborationFrontEnd/user/UserService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:52:01 +0530] "GET /CollaborationFrontEnd/forum/ForumController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:52:01 +0530] "GET /CollaborationFrontEnd/c_blog/BlogController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:52:01 +0530] "GET /CollaborationFrontEnd/forum/ForumService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:52:01 +0530] "GET /CollaborationFrontEnd/jobs/JobController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:52:01 +0530] "GET /CollaborationFrontEnd/c_blog/BlogService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:52:01 +0530] "GET /CollaborationFrontEnd/jobs/JobService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:52:02 +0530] "GET /CollaborationFrontEnd/image/image.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:52:02 +0530] "GET /CollaborationFrontEnd/user/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:52:02 +0530] "GET /favicon.ico HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:52:02 +0530] "GET /CollaborationBack/users/ HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:52:02 +0530] "GET /CollaborationBack/users/ HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:52:57 +0530] "GET /CollaborationBack/users/supriga HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:52:57 +0530] "GET /CollaborationBack/users/ HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:52:57 +0530] "GET /CollaborationBack/forums/ HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:52:57 +0530] "GET /CollaborationBack/blogs/ HTTP/1.1" 200 583
